month,year,min,max
4,9,25,40
5,9,20,60
6,9,25,30
7,9,25,30
9,9,25,25
10,9,25,35
11,9,20,45
12,9,25,45
5,10,20,55
6,10,20,85
10,10,25,105
11,10,25,60
12,10,20,25
2,11,25,25
6,11,20,35
7,11,20,20
9,11,25,25
10,11,25,30
11,11,25,35
12,11,25,75
10,12,20,45
11,12,20,30
12,12,25,30
5,13,20,45
7,13,20,25
8,13,20,25
10,13,25,115
11,13,20,75
12,13,20,65
1,14,25,25
5,14,25,25
6,14,25,45
7,14,20,25
8,14,25,30
10,14,20,110
11,14,25,30
6,15,25,45
7,15,20,40
8,15,20,25
9,15,25,30
10,15,20,115
11,15,20,105
5,16,20,45
6,16,25,25
7,16,25,25
8,16,15,30
10,16,25,40
11,16,25,40
12,16,2,70
4,17,20,40
5,17,20,60
6,17,25,30
7,17,20,25
8,17,25,30
9,17,25,30
10,17,20,30
11,17,25,45
12,17,20,85
3,18,25,25
5,18,20,95
6,18,20,25
7,18,20,30
8,18,20,25
9,18,20,35
10,18,20,80
11,18,25,75
12,18,25,60
1,19,20,45
4,19,25,95
5,19,20,115
6,19,20,80
8,19,25,30
9,19,25,75
10,19,25,130
11,19,20,100
12,19,20,40
5,20,100,95
6,20,20,60
10,20,20,30
11,20,20,75
12,20,20,45
4,21,20,25
5,21,20,100
9,21,20,45
10,21,20,60
11,21,20,25
12,21,25,40
3,22,20,30
